Tab Names,,"Snapshot 1 | Sheet: KCP-109-C | Wednesday, February 11, 2026  11:08:24 PM",,,,,,,,,,,,,,,,,,,,,
KCP-109-C,,Oxide,Concentration,,,Iteration,Synthetic SiO2 Value,Synthetic TiO2 Value,Synthetic Al2O3 Value,Synthetic FeO Value,Synthetic MnO Value,Synthetic MgO Value,Synthetic CaO Value,Synthetic Na2O Value,Synthetic K2O Value,Synthetic P2O5 Value,,,,,,,
,,,,,,47,76.34012284,0.068274708,13.21041007,0.657377726,0.032066138,0.051408177,0.708352743,4.430952883,4.03244082,0.000441953,,,,,,,
,,,,,,48,76.279116,0.084325403,12.91182801,0.722845565,0.035489902,0.112970201,0.70154708,4.351907875,4.092412001,0.006782372,,,,,,,
,,,,,,49,76.37774018,0.07419575,12.89755684,0.566867693,0.023078017,0.049572327,0.719979914,4.331563539,4.060950367,0.007817335,,,,,,,
,,,,,,50,75.76056967,0.077617175,12.85029085,0.684765392,0.033383705,0.075166287,0.668444128,4.513839972,4.005312483,0.02116289,,,,,,,
,,,,,,51,75.86077385,0.088140638,12.94063332,0.687392989,0.034688667,0.128358379,0.742960856,4.356696474,3.929026554,0.01112217,,,,,,,
,,,,,,52,75.25321568,0.090469176,13.17156987,0.62363365,0.030671014,0.088719131,0.738489084,4.308466116,4.022115738,0.008852785,,,,,,,
,,,,,,53,76.33793678,0.087048354,12.81643251,0.646538421,0.035185372,0.051166856,0.643724914,4.364162415,4.001735855,0.009121101,,,,,,,
,,,,,,54,75.56143644,0.052905104,12.76378741,0.738189532,0.033345396,0.098899983,0.692502708,4.27685703,4.021222463,0.009069135,,,,,,,
,,,,,,55,76.09624248,0.111432025,13.1474141,0.673674701,0.033717497,0.080195246,0.720715674,4.253482977,3.969450611,0.007961145,,,,,,,
,,,,,,56,75.62724914,0.104959684,12.94714957,0.660207747,0.033180679,0.096230876,0.648148944,4.306473335,4.019743402,0.012632148,,,,,,,
,,,,,,57,76.22520938,0.076501529,12.96585077,0.695490178,0.03434654,0.093038908,0.697667703,4.326302876,4.049355397,0.008629607,,,,,,,
,,,,,,58,75.77275217,0.095461405,13.00619804,0.777421221,0.027402655,0.111954678,0.659213226,4.341557401,4.072036756,0.009434631,,,,,,,
,,,,,,59,75.61189565,0.073700393,12.82969516,0.689759371,0.031145368,0.05893378,0.766922681,4.227329988,3.992795264,0.006431532,,,,,,,
,,,,,,60,75.87298085,0.096527687,12.97652746,0.687229531,0.031314996,0.09014038,0.779224592,4.372112211,4.073693166,0.021439075,,,,,,,
,,,,,,61,75.61956557,0.083893426,12.98029557,0.633367042,0.030266481,0.105826502,0.726680486,4.270211448,3.978681126,0.006653094,,,,,,,
,,,,,,62,75.94026859,0.095416035,12.97102946,0.590754972,0.02864807,0.098315943,0.69693462,4.369441526,3.966314315,0.006762456,,,,,,,
,,,,,,63,75.65994376,0.06715056,12.81680026,0.628977626,0.031052012,0.050112586,0.697959515,4.303378735,3.971281835,0.010114349,,,,,,,
,,,,,,64,75.49227601,0.079581826,12.8426278,0.671368057,0.032160721,0.075633556,0.732003946,4.340770715,3.960922499,0.005991431,,,,,,,
,,,,,,65,76.43104618,0.088581282,12.97320173,0.757820117,0.030106768,0.088773786,0.678515502,4.611758628,4.029960609,0.014049861,,,,,,,
,,,,,,66,76.12115904,0.078644063,13.1295259,0.639979781,0.031832378,0.075155407,0.702492098,4.229066933,4.012746783,-0.002704097,,,,,,,
,,,,,,67,75.01157031,0.081149024,12.88510184,0.633484691,0.033714805,0.04902356,0.606260013,4.381112588,3.937613846,0.010973128,,,,,,,
,,,,,,68,75.51126612,0.076055814,13.11292949,0.715123716,0.032800002,0.103874327,0.681290044,4.43581094,4.102268035,0.003659762,,,,,,,
,,,,,,69,75.88292804,0.089096784,13.13606146,0.664118157,0.036443271,0.11619182,0.770548252,4.424106003,3.971198887,0.015918062,,,,,,,
,,,,,,70,76.00865709,0.077432217,12.89614338,0.706969759,0.028077334,0.084049939,0.753684699,4.280136453,4.044647622,0.015426205,,,,,,,
,,,,,,71,75.39723489,0.105032089,12.80853168,0.694248237,0.034533847,0.139875167,0.71155903,4.453867814,4.030737297,0.006752273,,,,,,,
,,,,,,72,75.79032271,0.079454179,13.15403063,0.669618797,0.02692158,0.099313804,0.650516335,4.35214568,3.97805845,0.009458722,,,,,,,
,,,,,,73,75.83786328,0.082706209,13.08447618,0.646276006,0.028967766,0.109205154,0.739157392,4.462199307,3.965002702,0.002769946,,,,,,,
,,,,,,74,75.76307542,0.084546646,12.97036105,0.702673456,0.034461761,0.067147603,0.708072928,4.2447626,4.043380896,0.009189608,,,,,,,
,,,,,,75,76.0913269,0.076987631,12.82583241,0.650089157,0.033052874,0.071378954,0.685911109,4.332055963,4.032762936,0.00871109,,,,,,,
,,,,,,76,75.32430042,0.09369673,13.04536093,0.600758069,0.029881471,0.086076143,0.758361388,4.450402716,4.025203383,0.018104422,,,,,,,
,,,,,,77,75.36416498,0.097109502,13.12350788,0.671565923,0.036317057,0.075949987,0.652850342,4.261020086,4.084649529,0.012770898,,,,,,,
,,,,,,78,75.93895932,0.074942865,12.91977312,0.617431412,0.029719225,0.072509251,0.654080432,4.416712004,4.068571737,0.004753395,,,,,,,
,,,,,,79,75.89167257,0.094966736,12.88729721,0.640752753,0.031121919,0.073456984,0.743656587,4.110070332,3.975144433,0.005516571,,,,,,,
,,,,,,80,75.90824429,0.088071028,12.90384796,0.719095487,0.033029989,0.087000082,0.653129722,4.359917446,3.960171766,0.005632703,,,,,,,
,,,,,,81,75.48471242,0.082779802,12.84717058,0.698206224,0.031679419,0.098890821,0.698899053,4.38463554,3.981994135,0.014182603,,,,,,,
,,,,,,82,75.42513891,0.085813105,12.92913068,0.691130054,0.025522753,0.096097363,0.645551349,4.366320657,3.987008717,0.01256654,,,,,,,
,,,,,,83,76.04330756,0.072299361,12.63407546,0.667888128,0.029226392,0.098569288,0.751890757,4.387823312,4.000127007,0.013360671,,,,,,,
,,,,,,84,76.6336479,0.076914852,12.99542358,0.669567747,0.028248153,0.083491507,0.738716975,4.449314455,3.935093807,0.008416612,,,,,,,
,,,,,,85,75.91985888,0.07466658,12.76679518,0.74937865,0.035893889,0.084813211,0.681128269,4.419026671,4.047958105,0.012213991,,,,,,,
,,,,,,86,76.17060749,0.094421875,12.98310467,0.7307517,0.033265468,0.130869374,0.730715048,4.437730247,3.893462443,0.004286753,,,,,,,
,,,,,,87,75.8211761,0.080009555,12.84808917,0.705534111,0.028456808,0.083581429,0.709881697,4.351591613,4.002405113,0.00810806,,,,,,,
,,,,,,88,76.27716018,0.069285845,12.91788982,0.672586536,0.029883402,0.077024225,0.708659462,4.503637838,3.983539147,0.007673828,,,,,,,
,,,,,,89,76.25972334,0.066120782,12.97003966,0.652753534,0.030737338,0.063377934,0.733596289,4.343420659,4.069302937,0.011666018,,,,,,,
,,,,,,90,75.96007403,0.093646213,12.81564342,0.695142503,0.03283571,0.103778817,0.710912051,4.441812129,4.029619363,0.004522027,,,,,,,
,,,,,,91,76.0686837,0.080907211,12.94389189,0.620106718,0.029967796,0.08781803,0.724328816,4.471054068,4.021767117,0.008538284,,,,,,,
,,,,,,92,75.99014437,0.064823409,13.0138362,0.598070735,0.031857791,0.082868092,0.743362566,4.289288533,3.9632391,0.013479833,,,,,,,
,,,,,,93,76.37344459,0.09075625,12.81679132,0.721936053,0.0322393,0.099578597,0.722548997,4.423366554,3.998910232,0.010606595,,,,,,,
,,,,,,94,75.76359331,0.077905748,13.17258475,0.693941137,0.025427279,0.118577087,0.632725952,4.497380147,3.934486535,0.008364939,,,,,,,
,,,,,,95,76.33048735,0.086475014,12.77630244,0.735136999,0.029871129,0.108659905,0.677839237,4.272577444,3.971983866,0.012949928,,,,,,,
,,,,,,96,76.23233841,0.08019942,12.8666367,0.703884858,0.025793142,0.069024986,0.695377739,4.296521293,3.928667175,0.003899532,,,,,,,
,,,,,,97,75.71985988,0.080769835,12.88632127,0.659850267,0.027342243,0.083293748,0.710158015,4.493047725,3.959221703,0.014309516,,,,,,,
,,,,,,98,75.39357615,0.060815148,12.98225107,0.671984201,0.030702167,0.106358247,0.765691368,4.278073161,3.931279321,0.006897827,,,,,,,
,,,,,,99,75.69285872,0.062260989,13.18895423,0.72114948,0.030309029,0.064701951,0.68321889,4.34544593,3.993672265,0.01320626,,,,,,,
,,,,,,100,75.85398238,0.07977655,12.90328591,0.703736687,0.031127548,0.087102552,0.711259102,4.330202894,4.015445965,0.009795807,,,,,,,
,,,,,,101,76.05654321,0.070126779,12.86861689,0.752426638,0.029068132,0.105136117,0.715030678,4.463273496,4.058118097,0.00784766,,,,,,,
,,,,,,102,75.55777181,0.054333265,12.86955978,0.657600878,0.03565205,0.073348972,0.705958605,4.173221773,4.073544063,-0.001042823,,,,,,,
,,,,,,103,76.15139526,0.091207499,12.97063401,0.681620421,0.027458791,0.129602992,0.689180968,4.50049665,4.014874,0.001224662,,,,,,,
,,,,,,104,75.35406814,0.076134492,12.777967,0.596616444,0.027443707,0.079049188,0.72200778,4.40437394,3.984021218,0.011206908,,,,,,,
,,,,,,105,75.98453737,0.087756043,13.17427105,0.696795235,0.028412059,0.062586269,0.735139722,4.162295382,3.955093754,0.017413828,,,,,,,
,,,,,,106,75.29536091,0.083903629,12.943467,0.685514054,0.031251175,0.073245725,0.685689685,4.401131856,4.025772548,0.007870803,,,,,,,
,,,,,,107,75.72737061,0.088884974,13.0342714,0.624282053,0.025809398,0.081734411,0.698724372,4.217146833,4.01588164,0.004956436,,,,,,,
,,,,,,108,75.82320045,0.086133093,12.5616882,0.667331159,0.031650619,0.097277982,0.716382479,4.461773126,4.034035221,0.014536361,,,,,,,
,,,,,,109,75.61519595,0.091728159,12.98175633,0.69761122,0.029648134,0.167112873,0.731607198,4.547353328,3.935235769,0.004350937,,,,,,,
,,,,,,110,76.21236424,0.084291562,12.8916223,0.672533788,0.027254991,0.117943274,0.718692657,4.401237274,4.023712206,0.01618286,,,,,,,
,,,,,,111,75.42540385,0.076732573,12.98664738,0.744065607,0.025025178,0.095483091,0.702696641,4.546842148,4.103246387,0.012323272,,,,,,,
,,,,,,112,76.18064277,0.098761188,12.91937454,0.59244632,0.036274063,0.055644907,0.736180513,4.360642439,3.923749286,0.003637172,,,,,,,
,,,,,,113,75.41657682,0.067060555,13.23077079,0.739123683,0.027560013,0.076427622,0.725581809,4.264125902,4.099029392,0.00546443,,,,,,,
,,,,,,114,75.59628185,0.099533506,13.306887,0.616733493,0.027511657,0.097953625,0.688374027,4.502991864,4.031063826,0.001598224,,,,,,,
,,,,,,115,76.03707866,0.102633083,12.82669269,0.687071663,0.028044048,0.082971263,0.664719542,4.275838573,3.963686216,0.005334928,,,,,,,
,,,,,,116,75.90329453,0.076048296,13.17702352,0.672164076,0.029350146,0.095883885,0.729911041,4.400478761,4.031541337,0.019164817,,,,,,,
,,,,,,117,76.38819801,0.079789749,12.98993714,0.697375225,0.031899868,0.11747493,0.703084324,4.31826223,3.980794133,0.007849224,,,,,,,
,,,,,,118,76.14749035,0.084993929,12.90040477,0.649784923,0.030865041,0.0794813,0.683087489,4.361789092,3.955906848,-0.0015081,,,,,,,
,,,,,,119,76.06569595,0.077088923,13.15067392,0.583289019,0.022831957,0.077259495,0.665246106,4.214745285,3.948861172,0.010967136,,,,,,,
,,,,,,120,76.12457463,0.069781134,13.05552033,0.650788671,0.031182286,0.083565831,0.68930536,4.519866538,4.014547804,-0.00897623,,,,,,,
,,,,,,121,75.5858768,0.088759272,12.77889876,0.468925815,0.030818383,0.101162803,0.739478132,4.492652821,3.950676306,0.018013141,,,,,,,
,,,,,,122,76.89707214,0.086674951,12.90052577,0.650163054,0.030001692,0.083976729,0.712639234,4.422964408,4.038335001,0.00311293,,,,,,,
,,,,,,123,76.24370855,0.090196362,13.07285532,0.632215684,0.026194899,0.067337489,0.678283692,4.278417957,4.137130245,0.009945065,,,,,,,
,,,,,,124,76.47314337,0.079860889,13.0533605,0.67914881,0.032820063,0.131319494,0.738598521,4.464665607,4.03737683,0.010918709,,,,,,,
,,,,,,125,76.20114311,0.079802753,12.9620415,0.633417514,0.032068488,0.107925363,0.652974393,4.50308749,4.030333603,0.01109962,,,,,,,
,,,,,,126,75.85628339,0.098398825,12.8740111,0.610326531,0.028995877,0.107081114,0.719629819,4.496460864,4.06641258,0.013642481,,,,,,,
,,,,,,127,75.96273255,0.093240815,13.04965161,0.634120217,0.033757861,0.110609255,0.75632122,4.338223383,4.034541205,0.006426602,,,,,,,
,,,,,,128,75.64365053,0.095589266,12.70850234,0.65219472,0.034148916,0.134577913,0.763220494,4.291272308,3.956737203,0.005132543,,,,,,,
,,,,,,129,76.22088455,0.102228251,12.91235635,0.728780757,0.028440572,0.065695389,0.636849168,4.353485262,3.911788686,0.009703986,,,,,,,
,,,,,,130,75.32354721,0.060447862,12.84583229,0.668076724,0.03133562,0.09215234,0.704884422,4.469366941,3.906343435,0.009392125,,,,,,,
,,,,,,131,75.5244641,0.087908372,12.86762424,0.593004004,0.031369393,0.08555245,0.644567678,4.409593499,4.039122508,0.009794573,,,,,,,
,,,,,,132,76.14377421,0.092544204,12.96003604,0.670084381,0.030066303,0.085288492,0.694863463,4.380510666,3.915220295,0.008398146,,,,,,,
,,,,,,133,76.01970036,0.070864334,13.06780606,0.662252682,0.030873735,0.107808762,0.693062124,4.443605008,4.023837661,0.004426226,,,,,,,
,,,,,,134,75.59421249,0.097147182,12.75136213,0.522226674,0.029528125,0.074967745,0.661103077,4.305332461,3.918218261,0.007328906,,,,,,,
,,,,,,135,75.57647716,0.080554502,12.64637178,0.64579463,0.026681203,0.10551387,0.725427001,4.400406675,4.025736366,0.005217204,,,,,,,
,,,,,,136,75.74367495,0.075189641,12.83483697,0.757911685,0.026063849,0.082896339,0.638942093,4.450421137,3.932568364,0.004624802,,,,,,,
,,,,,,137,75.96974176,0.091120906,12.77383449,0.631992761,0.034339647,0.077662804,0.75415373,4.274813516,4.008921375,0.005378759,,,,,,,
,,,,,,138,75.69464125,0.098441926,12.83039209,0.645833104,0.029645385,0.081021646,0.775395912,4.369050585,4.132906672,0.005318047,,,,,,,
,,,,,,139,75.56936441,0.076370456,12.70277062,0.692403923,0.032269183,0.099851165,0.682108562,4.422706445,4.025876743,0.002046003,,,,,,,
,,,,,,140,75.87471942,0.089595881,12.72187401,0.697235073,0.030590132,0.093975928,0.686520456,4.367610304,4.030246449,0.010188131,,,,,,,
,,,,,,141,75.40503859,0.100234343,12.71843181,0.687457454,0.032999715,0.126934038,0.757439514,4.347658184,4.072854405,0.022966556,,,,,,,
,,,,,,142,75.78076183,0.091210332,13.1594255,0.708356384,0.029322694,0.05305664,0.704994856,4.516705651,4.012116724,0.013024095,,,,,,,
,,,,,,143,75.84317106,0.073476753,12.99947258,0.765882184,0.034257339,0.06761426,0.712315311,4.32630223,4.140393193,0.017420794,,,,,,,
,,,,,,144,76.42357035,0.04808295,12.79619733,0.658579581,0.031787934,0.096617321,0.696224907,4.56497666,4.068252512,0.00398501,,,,,,,
,,,,,,145,75.32494143,0.104829932,13.01873128,0.59600881,0.030365309,0.061391883,0.727424338,4.318122839,4.10891715,0.008381642,,,,,,,
,,,,,,146,75.87232797,0.090417344,12.87845225,0.648148938,0.029011398,0.100176864,0.712337663,4.172116998,4.043135355,0.007419682,,,,,,,
,,,,,,147,76.20651701,0.101958231,12.8724454,0.633766548,0.028951813,0.045157437,0.71031467,4.348524647,3.947785705,0.009950907,,,,,,,
,,,,,,148,75.96427261,0.089056136,13.23293159,0.681939611,0.032072145,0.072493998,0.763140248,4.277974552,4.010416413,0.009803767,,,,,,,
,,,,,,149,75.66440073,0.085143722,13.00672412,0.620923562,0.032359912,0.102988954,0.691915309,4.437249584,3.953202161,0.015100564,,,,,,,
,,,,,,150,76.54409986,0.068613271,12.99545971,0.697331676,0.031874871,0.119149948,0.698574218,4.498069776,4.026121216,0.017029565,,,,,,,
,,,,,,151,76.18280383,0.076271289,12.94773788,0.641630987,0.036526037,0.099784357,0.639911953,4.244728521,4.04203829,0.002069647,,,,,,,
,,,,,,152,75.65773309,0.069273072,12.69731999,0.674398877,0.029334934,0.088840065,0.693121852,4.350242962,3.988123815,0.009403788,,,,,,,
,,,,,,153,75.34032783,0.089257857,12.94123231,0.579641303,0.0304822,0.097792111,0.741647949,4.422065668,4.045439735,0.015529232,,,,,,,
,,,,,,154,76.28195504,0.079509323,12.74799478,0.651464794,0.031350008,0.079593885,0.767934402,4.430936009,3.991695684,0.014014626,,,,,,,
,,,,,,155,76.27033121,0.078519111,13.21135766,0.608878633,0.03355524,0.086434567,0.737895342,4.326675224,4.018663071,0.007519637,,,,,,,
,,,,,,156,76.40915745,0.079203702,12.5329595,0.683022866,0.031989442,0.078755057,0.700069977,4.41722825,3.978415611,0.008993905,,,,,,,
,,,,,,157,75.81074036,0.102881318,12.94458752,0.737863797,0.030124347,0.098656631,0.645773912,4.408488028,4.009034511,0.011169573,,,,,,,
,,,,,,158,76.15433817,0.090109261,13.04218189,0.662905826,0.029299127,0.123441611,0.722545928,4.450181129,3.933126207,0.010905721,,,,,,,
,,,,,,159,76.43898776,0.091778561,12.8492696,0.622688086,0.032033189,0.054256309,0.68107757,4.380284747,4.072823466,0.003879721,,,,,,,
,,,,,,160,75.6218649,0.082644567,12.89686188,0.642975463,0.032661638,0.089750264,0.674887285,4.653323088,4.049544091,0.007317258,,,,,,,
,,,,,,161,75.65979294,0.06189669,12.91113535,0.643403076,0.029894279,0.049023603,0.755676298,4.382419915,4.030596036,0.010874888,,,,,,,
,,,,,,162,76.48056557,0.091872856,12.84379184,0.637242879,0.02942383,0.077651136,0.71961288,4.495191668,3.930482763,0.009461095,,,,,,,
,,,,,,163,75.93105417,0.069622885,13.10275834,0.659994552,0.030531228,0.082351152,0.666168227,4.216675919,4.009913432,0.003256542,,,,,,,
,,,,,,164,75.64136735,0.076389362,13.03761406,0.641263513,0.026696735,0.072689269,0.653301913,4.288337627,4.073073008,0.001774596,,,,,,,
,,,,,,165,75.95209152,0.081118294,12.80269324,0.707625873,0.031653676,0.060936346,0.697560378,4.162474205,4.029988964,0.015924835,,,,,,,
,,,,,,166,75.66145167,0.062829841,12.93900436,0.67962006,0.03340457,0.126022797,0.700005566,4.30261323,4.015711935,0.006545958,,,,,,,
,,,,,,167,76.33406465,0.0875669,13.21250333,0.625493187,0.033414912,0.072615006,0.696177857,4.523299724,3.974358154,0.004219831,,,,,,,
,,,,,,168,75.43573459,0.088459085,12.82419812,0.741753889,0.026972244,0.093682731,0.724226236,4.394833602,3.989607841,0.008395571,,,,,,,
,,,,,,169,75.63986571,0.093129819,12.80144976,0.676893261,0.031991528,0.062388667,0.683231461,4.350729794,3.979522305,0.004590266,,,,,,,
,,,,,,170,76.56150329,0.070548898,12.84281515,0.646493734,0.030199864,0.099996976,0.637811823,4.314944834,4.106509641,0.011712449,,,,,,,
,,,,,,171,75.83015587,0.077571973,13.05283456,0.688820385,0.028588615,0.109303879,0.69111682,4.456873381,3.947105882,0.008365136,,,,,,,
,,,,,,172,76.41397379,0.0971061,12.99824217,0.643323731,0.029272666,0.098251791,0.73757219,4.417127441,3.95756942,0.008608978,,,,,,,
,,,,,,173,75.87547953,0.081344398,12.80548406,0.711171343,0.028334228,0.143271633,0.65109562,4.494036588,4.022791543,0.005532545,,,,,,,
,,,,,,174,75.63611694,0.080833195,13.03705374,0.691237846,0.029381606,0.139799269,0.69296504,4.542588043,4.000499458,0.00174883,,,,,,,
,,,,,,175,75.92376172,0.074754139,13.01756239,0.562215841,0.03416162,0.098266642,0.684089618,4.328592868,4.104595111,0.006895638,,,,,,,
,,,,,,176,75.70668477,0.092305208,12.75530937,0.678737298,0.030578932,0.085662014,0.710914505,4.302930878,4.023844296,0.010950168,,,,,,,
,,,,,,177,75.57025976,0.085524403,12.9277629,0.671858123,0.03559486,0.085581223,0.682679757,4.355817707,3.89808877,0.011471154,,,,,,,
